
2	490513
3	23398
4	30871
5	34783
6	45189
7	85907
8	61533
9	71520
10	99458
11	144996
12	56084
13	56224
14	136964
15	65234
16	77177
17	66911
18	61533
19	63418
20	75641
21	92892
22	89190
23	73965
24	78015
25	88283
26	93939
27	103369
28	112658
28	108607
30	116080
31	216795
32	128792
33	129769
34	139478
35	142761
36	164831
37	155193
38	158545
39	167904
40	173702
41	181315
42	128303
43	124602
44	130468
45	136335
46	149187
47	144088
48	148837
49	151980
50	173282
51	159523
52	169161
53	176985
54	184038
55	189696
56	195772
56	195982
57	205550
59	220706
60	197239
61	207436
62	210229
63	232301
64	260028
65	225874
66	232929
67	244802
68	236561
69	242707
70	251019
71	258283
72	264918
73	295299
74	289572
75	292436
76	302773
77	305357
78	319186
79	325961
80	330780
81	341047
82	368845
83	355225
84	363607
85	369893
86	394128
87	405513
88	399646
89	326170
90	127116
91	284823
92	131725
93	106652
94	108887
95	107769
96	112309
97	115871
98	116150
99	118665
100	122227
